,price,price,price,price,return,return,return,return
2021-09-03,104.0832290649414,17.385852813720703,221.64288330078125,16.40999984741211,-0.0017236267184312926,0.001035717709762407,-0.0003414186208655634,0.0
2021-09-07,103.80470275878906,17.1879825592041,220.6874237060547,18.139999389648438,-0.0026759960144834283,-0.011381107193110807,-0.004310806557366265,0.1054234953274027
2021-09-08,103.97541046142578,17.31389808654785,220.1671142578125,17.959999084472656,0.0016445083710070474,0.007325788638080866,-0.0023576760265923147,-0.009922839648963677
2021-09-09,104.30782318115234,17.1879825592041,219.40084838867188,18.799999237060547,0.003197032050668236,-0.007272511754102373,-0.0034803829433097677,0.04677061221646239
2021-09-10,104.1011962890625,17.4128360748291,217.66012573242188,20.950000762939453,-0.0019809337956463446,0.013082019070620454,-0.007933983250448917,0.11436178793244811
2021-09-13,104.2359619140625,17.54775047302246,218.15211486816406,19.3700008392334,0.0012945636534837934,0.0077479853146027455,0.0022603549184154748,-0.07541765470963968
2021-09-14,104.46953582763672,17.538753509521484,216.83717346191406,19.459999084472656,0.002240818900551611,-0.0005127132115770872,-0.006027635382057417,0.004646269558077121
2021-09-15,104.3707046508789,17.826570510864258,218.6250762939453,18.18000030517578,-0.0009460286769232829,0.016410345306838492,0.008245370493843218,-0.06577589103373593
2021-09-16,104.1910171508789,17.700651168823242,218.4264373779297,18.690000534057617,-0.0017216277364520138,-0.007063576360033741,-0.0009085824891768013,0.0280528173993837
2021-09-17,104.1011962890625,17.556743621826172,216.6763153076172,20.809999465942383,-0.0008620787499016291,-0.008130070788047616,-0.008012409538522891,0.11342958112931156
2021-09-20,104.29885864257812,17.349876403808594,212.92063903808594,25.709999084472656,0.0018987519890432125,-0.011782778314334164,-0.017333118593046426,0.2354637070774368
2021-09-21,104.34376525878906,17.36786460876465,212.90170288085938,24.360000610351562,0.00043055712013906344,0.001036791533114645,-8.893528270492723e-05,-0.05250869397877245
2021-09-22,104.37969970703125,17.565738677978516,215.0491485595703,20.8700008392334,0.00034438519784152355,0.0113931144485091,0.010086559429318687,-0.14326763890289562
2021-09-23,103.86760711669922,17.8355655670166,217.6696319580078,18.6299991607666,-0.00490605540894784,0.015360975930739373,0.012185509293991093,-0.10733117337761822
2021-09-24,103.68792724609375,17.916513442993164,217.92965698242188,17.75,-0.0017298932322913352,0.004538565131136707,0.001194585675893478,-0.04723559851896364
2021-09-27,103.54415893554688,18.15935707092285,217.4551544189453,18.760000228881836,-0.0013865482160295706,0.01355417886981014,-0.0021773198290071516,0.056901421345455505
2021-09-28,103.11290740966797,18.015451431274414,212.89991760253906,23.25,-0.004164904426403715,-0.00792459992313621,-0.020947936730118633,0.23933900406917985
2021-09-29,103.184814453125,18.033437728881836,213.04226684570312,22.559999465942383,0.0006973621951260611,0.0009983817322611888,0.0006686204709098753,-0.029677442325058756
2021-09-30,103.16683197021484,18.15036392211914,210.73619079589844,23.139999389648438,-0.0001742745093400444,0.0064838548808716645,-0.010824500151769723,0.02570921708494045
2021-10-01,103.4817886352539,18.393207550048828,213.64012145996094,21.100000381469727,0.0030528868534995812,0.013379545940329196,0.013779933352192852,-0.0881589914428128
2021-10-04,103.4097671508789,18.690017700195312,210.4230194091797,22.959999084472656,-0.000695982214115487,0.016136943452567998,-0.015058510680467707,0.08815159570501252
2021-10-05,103.16682434082031,18.92386817932129,212.38748168945312,21.299999237060547,-0.00234932170095814,0.01251205230926744,0.009335776502918725,-0.07229964780507026
2021-10-06,103.21182250976562,18.60906982421875,213.27003479003906,21.0,0.00043616898390386183,-0.016634989850887294,0.004155391332698155,-0.014084471727988102
2021-10-07,102.92388916015625,18.842920303344727,215.31985473632812,19.540000915527344,-0.0027897322477967723,0.012566478675985815,0.00961138281009366,-0.06952376592726939
2021-10-08,102.69892120361328,18.905879974365234,214.8453826904297,18.770000457763672,-0.0021857700712504258,0.003341290522219653,-0.002203568484102192,-0.039406367537669684
2021-10-11,102.53691864013672,19.031797409057617,213.2985382080078,20.0,-0.0015774514627604486,0.006660226070572595,-0.007199803240131586,0.06553007523916032
2021-10-12,102.91485595703125,19.031797409057617,213.1466827392578,19.850000381469727,0.003685865753592088,0.0,-0.0007119386284866192,-0.007499980926513716
2021-10-13,103.14881896972656,19.139728546142578,214.11463928222656,18.639999389648438,0.0022733648171551213,0.005671095313025676,0.0045412695638940015,-0.060957227635665134
2021-10-14,103.34681701660156,19.337602615356445,217.67344665527344,16.860000610351562,0.0019195377014749049,0.010338394755015745,0.016621037146161477,-0.09549349987025113
2021-10-15,103.09483337402344,19.49949836730957,218.96408081054688,16.299999237060547,-0.0024382332214222258,0.008372069442804664,0.005929221846325605,-0.033214789621489715
2021-10-18,103.02283477783203,19.382572174072266,219.76124572753906,16.309999465942383,-0.0006983724968078198,-0.005996369292931569,0.0036406195666489616,0.0006135110030618396
2021-10-19,102.72590637207031,19.42754554748535,221.3650665283203,15.699999809265137,-0.002882161089840296,0.002320299545859328,0.00729801469531921,-0.037400348047283094
2021-10-20,102.65392303466797,19.64340591430664,222.22866821289062,15.489999771118164,-0.0007007320737733025,0.011111046750279296,0.0039012555057318377,-0.013375798770586256
2021-10-21,102.4379653930664,19.34659767150879,222.83602905273438,15.010000228881836,-0.0021037446521028347,-0.015109815685358408,0.0027330445019897454,-0.03098770492762115
2021-10-22,102.63592529296875,19.436538696289062,222.40899658203125,15.430000305175781,0.0019324856672304769,0.004648932401831507,-0.0019163529009129654,0.02798135042568428
2021-10-25,102.73490905761719,19.53547477722168,223.7755126953125,15.239999771118164,0.0009644163519342275,0.00509021088983852,0.006144158439099989,-0.012313709027853004
2021-10-26,102.92388916015625,19.562458038330078,223.6901397705078,15.979999542236328,0.0018394925763070002,0.0013812441937608444,-0.0003815114700281841,0.04855641615694517
2021-10-27,103.26580047607422,19.202688217163086,222.16221618652344,16.979999542236328,0.0033219820850913795,-0.018390829028850586,-0.006830536140537635,0.0625782245710913
2021-10-28,103.1847915649414,19.301624298095703,224.5347442626953,16.530000686645508,-0.0007844698899281966,0.005152199515700673,0.010679260033037874,-0.026501700101433157
2021-10-29,103.15782165527344,19.202688217163086,224.8289031982422,16.260000228881836,-0.0002613748524267212,-0.005125790420777099,0.0013100820388078915,-0.01633396530841069
2021-11-01,103.0947036743164,19.34659767150879,225.94876098632812,16.40999984741211,-0.0006118584121324044,0.0074942348028688155,0.004980933377140229,0.009225068660444258
2021-11-02,103.3020248413086,19.40056037902832,226.6510009765625,16.030000686645508,0.0020109778640726717,0.0027892608527750884,0.0031079612349671493,-0.023156560895795986
2021-11-03,103.0947036743164,18.905879974365234,228.25485229492188,15.100000381469727,-0.0020069419482403594,-0.025498253400856763,0.0070763037067955725,-0.05801623614093532
2021-11-04,103.43719482421875,18.78895378112793,229.11843872070312,15.4399995803833,0.003322102277768746,-0.006184646966755691,0.0037834307446198423,0.022516502670477445
2021-11-05,103.8427963256836,19.049787521362305,230.00100708007812,16.479999542236328,0.003921234543861285,0.01388229186535983,0.0038520180405507976,0.06735751231330078
2021-11-08,103.65351867675781,19.166711807250977,230.38058471679688,17.219999313354492,-0.0018227325883265477,0.00613782624911452,0.0016503303247998868,0.044902899980162614
2021-11-09,103.94193267822266,19.319612503051758,229.71629333496094,17.780000686645508,0.0027824815321924046,0.007977408818915732,-0.002883452104492812,0.03252040624976815
